hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,id
6306965,2020-06-16,cat,bite wound,wound,GN,pasteurella,2020-06-19,test,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,S,S,S,,,S,S,S,,S,,S,S,S,S,,,,S,,S,,S,3236
6307237,2020-06-29,dog,ub mucosa,urinary tract,GN,escherichia,2020-07-02,test,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,S,R,R,R,R,S,S,S,R,R,R,-,S,S,R,I,S,,,R,,R,,S,3237
6306486,2020-07-11,dog,urine,urinary tract,GN,klebsiella,2020-07-16,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,R,R,I,R,R,S,I,R,R,R,-,R,S,R,S,R,,,R,,R,,R,3238
6307287,2020-07-09,dog,urine,urinary tract,GN,escherichia,2020-07-14,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,R,R,R,R,R,R,R,R,R,R,R,+,R,S,R,S,S,,,R,,R,,R,3239
5913097,2020-07-10,dog,abdominal fluid,abdomen,GN,providencia,2020-07-15,test,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,S,,R,R,R,S,S,S,I,R,S,,R,I,S,S,R,,,S,,R,,S,3240
6105022,2020-07-01,dog,urine,urinary tract,GN,proteus,2020-07-08,test,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,S,S,S,S,S,S,S,R,S,,S,I,S,S,R,,,S,,R,,S,3241
6307806,2020-07-13,dog,urine,urinary tract,GN,proteus,2020-07-16,test,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,S,S,S,S,S,S,S,R,S,,S,I,S,S,R,,,S,,R,,S,3242
6307337,2020-07-02,dog,ub mucosa,urinary tract,GN,escherichia,2020-07-09,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,I,R,R,R,R,R,R,R,R,R,R,-,I,S,R,S,S,,,R,,R,,S,3243
6107468,2020-07-16,dog,urine,urinary tract,GN,proteus,2020-07-22,test,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,R,R,S,S,S,I,R,R,,R,I,I,I,R,,,R,,R,,R,3244
6306405,2020-06-30,dog,pyometra,pg abscess,GN,enterobacter,2020-07-09,test,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,S,R,,R,R,I,R,S,S,S,S,,S,S,S,S,I,,,S,,S,,S,3245
